"","GSM3618686","GSM3618687","GSM3618688","GSM3618689","GSM3618690","GSM3618691","GSM3618692","GSM3618693"
"100038714_at",-1.75337739918967,-2.04251424074715,-1.10991116030305,-1.74921182215871,-1.54366486535726,-1.9471924972109,-1.64911644298889,-1.73622605148355
"100038718_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038725_at",-0.254523891800989,0.0986021752825086,0.317475744646206,-0.0271499571035007,-0.0632893123726967,-0.0884730692230153,-0.0652488335710883,0.0771717143615247
"100038728_at",NA,-4.64110867025138,-5.32968713444193,-5.77559170762314,-4.83909348006421,-6.69803337178233,-8.29340692017048,NA
"100038732_at",-4.57634288819609,-4.12588665782222,-3.66768607513826,-4.42218187340008,-4.19560293211811,-3.10542821898033,-3.58883255141579,-3.89678011497564
"100038734_at",-3.25578991392174,-3.10731199872661,-2.648596902671,-3.15837589371037,-3.8650699990592,-3.92943041518979,-2.52080669682244,-2.23753536855376
"100038735_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038746_at",-2.16798776128888,-1.85754604828924,-1.78277607470049,-1.8503693749797,-2.09684770130872,-2.34917599204531,-2.03251088558598,-1.9401063016368
"100038761_at",NA,NA,NA,NA,NA,-10.7307484137276,NA,NA
"100038833_at",NA,-2.4528015563316,-3.21776219316848,-3.43948506093705,-3.38278056471764,NA,NA,NA
"100038854_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038860_at",-2.4491450926531,-2.61860322781561,-2.4516742890298,-2.25093620356004,-2.17970938660366,-2.46371171888996,-1.43618313947321,-2.57607331384425
"100038862_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038909_at",-3.3062499430037,-3.54895366093493,NA,NA,-6.36923669505869,-4.41951601314869,NA,NA
"100038941_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038947_at",NA,NA,-10.5761800293918,NA,NA,NA,NA,-2.59165270706352
"100039037_at",NA,NA,NA,NA,NA,-4.58717386098932,NA,NA
"100039062_at",-4.41819339492344,-3.99544136851414,NA,NA,NA,NA,NA,-4.66569534630658
"100039072_at",-4.82022767042536,-3.46082748800799,-3.94480832254738,-3.63051170871632,-3.37091979202676,-3.70222502492411,-5.16635665877981,-3.12812532205563
"100039110_at",NA,NA,NA,NA,NA,NA,NA,NA
"100039139_at",NA,-7.06724640444412,-5.73413084990029,-10.2657423612831,NA,-5.90619218289488,NA,NA
