"","GSM5917081","GSM5917082","GSM5917083","GSM5917084","GSM5917085","GSM5917086","GSM5917087","GSM5917088"
"ASCRP3000023",3.10276378114198,3.16535438670802,3.07089660551719,3.17099100312405,3.06839631087511,3.05662088917574,3.2576531617837,3.21547069812557
"ASCRP3000024",2.83121037597166,2.80769047162369,2.82028224383514,2.79510545157404,2.8303578535019,2.73041929136059,2.90117857664249,2.84354854220529
"ASCRP3000025",3.57748492255402,3.63369279340287,3.58410709810888,3.61616743080689,3.60240528673296,3.55494105342075,3.69026981019512,3.65313302961724
"ASCRP3000026",3.02686332429401,3.07018250668354,3.06286382508826,3.06031201903475,3.05509168532991,3.16343562764711,2.85434037458349,3.0065388525336
"ASCRP3000027",3.25467291913991,2.90342357388133,3.06108362604727,2.92810733606436,3.10695802933538,2.80390508635737,3.08765242251425,2.94459317163228
"ASCRP3000028",3.20264148197395,2.88536493974166,2.85912525169032,2.8893648353556,2.89187609086356,2.81062579135262,2.82314658991656,2.83812331309386
"ASCRP3000029",2.87861012213526,3.0662135097555,3.08613043771422,3.05514094864589,3.05713757552313,3.13849273971825,3.02350249655492,3.06272126892876
"ASCRP3000030",3.01667272725153,2.99692918417243,3.03562326491627,2.99206346940889,3.00650802120355,3.05399769287397,2.95485883963383,2.97697767480159
"ASCRP3000031",3.2604315209945,3.19034396459661,3.26193918094847,3.1985638880288,3.21766067579035,3.23406798897001,3.11007517191687,3.15160266529965
"ASCRP3000032",2.92542633309651,2.78048921184863,2.83022564881016,2.76694279895852,2.78605576098399,2.77315457709429,2.76309114394092,2.78265534511512
"ASCRP3000033",2.92431848033577,2.7838471157005,2.83633381621627,2.78621391338272,2.85848254653276,2.76965045617187,2.85434037458349,2.7927369701098
"ASCRP3000034",2.68823968112165,2.62613975400822,2.63748439822465,2.65665750750137,2.63776422988043,2.63539834545784,2.65036483518011,2.64582924384454
"ASCRP3000035",2.92298238368145,2.86788394075246,2.88593987688093,2.8709945263741,2.91938102770122,2.837551180132,2.94528401329553,2.87861012213526
"ASCRP3000036",2.66266013791004,2.77439184205163,2.73650412947347,2.75909213559667,2.72388551229022,2.79012003465046,2.80558576283602,2.74561435966488
"ASCRP3000037",2.7303207625585,2.75724626309325,2.71562364634357,2.73916072177181,2.78605576098399,2.71808810403225,2.81013017269698,2.7969221285728
"ASCRP3000038",2.9570278950014,2.69190373336939,2.74011111097046,2.70602616294898,2.74011111097046,2.69234426886327,2.7303207625585,2.70375830455107
"ASCRP3000039",2.80029220537643,2.87243573163146,2.85236486854698,2.87370552461281,2.83362007689361,2.90240145669318,2.86168576513681,2.86570146577099
"ASCRP3000040",3.3133032607641,3.30424784642663,3.28768912428135,3.29224041783908,3.30933474131375,3.27056661551517,3.2693869187971,3.29082831918101
"ASCRP3000041",2.81268825795698,2.7989439808833,2.76863501371797,2.79105215264757,2.75405343552718,2.79074183434989,2.75627884922124,2.7704002194706
"ASCRP3000042",2.7303207625585,2.71994127259767,2.67284454905958,2.7171700140063,2.68112979050039,2.68628000781209,2.78186045457778,2.73119390248425
"ASCRP3000043",2.72865244451612,2.6676756209602,2.67027256876056,2.67333503720933,2.6779153592484,2.67027256876056,2.65858696106324,2.67235315517378
"ASCRP3000044",2.93761106889075,2.84608850784887,2.81402812808049,2.82956354571253,2.89871355757801,2.83348963517939,2.73650412947347,2.84584066663142
"ASCRP3000045",3.00020053077228,2.74246044768474,2.77248743510153,2.74151875293001,2.74011111097046,2.76846537484197,2.77422604103164,2.75724626309325
"ASCRP3000046",2.83492065448134,2.67027256876056,2.7379315197077,2.67863687220022,2.71385814299082,2.74588177356057,2.68017635822597,2.68407057689178
"ASCRP3000047",2.76489522850703,2.74809804442008,2.75369390530364,2.77107291127325,2.76643952205022,2.74909667513287,2.69201791838713,2.76022440893045
"ASCRP3000048",2.90991484834921,2.99485216945875,3.03458933254392,3.00960988152448,3.01170995687827,3.02600042009835,3.00582626521908,2.996120502628
"ASCRP3000049",2.75724626309325,2.68265498977614,2.71385814299082,2.68265498977614,2.70158079122751,2.66952797435924,2.68017635822597,2.69201791838713
"ASCRP3000050",2.80573194955448,2.61836509334639,2.65392498784393,2.61080312611759,2.60974578079795,2.63284721267925,2.63624343237276,2.63692386784927
"ASCRP3000051",3.16104470348773,3.20627775063612,3.12127135547033,3.19884133084135,3.22041855313877,3.27233691692414,3.00219495344895,3.1137766148205
"ASCRP3000052",2.59698289766424,2.56469117918664,2.56665527822816,2.53715996420219,2.5650550288605,2.56286487857021,2.57836688980155,2.55663210814066
"ASCRP3000053",3.03936332131265,3.11475683279912,3.12620271563766,3.13183257343545,3.0805965229872,3.15274402920643,3.06790585004517,3.10162005095197
"ASCRP3000054",2.65196184984381,2.64691299989466,2.66454728370324,2.65858696106324,2.65431987794158,2.65249209107262,2.63624343237276,2.64121663276309
"ASCRP3000055",2.94077706427218,2.94254961471388,2.9371071333081,2.95101312147945,2.94332841605996,2.93444368318377,2.94365536000356,2.93448619844451
"ASCRP3000056",3.21884566364355,3.37705656157633,3.38851190696311,3.35832827813381,3.35827152027295,3.49629208209008,3.29627304970882,3.35529308790503
