"","GSM4308223","GSM4308224","GSM4308225","GSM4308226","GSM4308227","GSM4308228","GSM4308229","GSM4308230","GSM4308231","GSM4308232","GSM4308233","GSM4308234","GSM4308235","GSM4308236","GSM4308237","GSM4308238","GSM4308239","GSM4308240","GSM4308241","GSM4308242","GSM4308243","GSM4308244","GSM4308245","GSM4308246","GSM4308247","GSM4308248","GSM4308249","GSM4308250","GSM4308251","GSM4308252","GSM4308253","GSM4308254","GSM4308255","GSM4308256"
"hsa-miR-577",8.64244670977663,8.83353243988692,6.95345732167727,7.02479393865302,7.81798324686215,6.7618583541801,7.26780824395222,6.98150106767346,6.80675066698449,6.92207650845359,6.94836723158468,7.03410013836711,6.99841441867552,8.01612242676911,7.01545742657525,8.39803093141435,8.77441513890268,6.93750329644582,6.97418741198502,6.95250597117294,6.90689059560852,6.71085876918115,8.35542994691497,8.41894087498777,8.55295261397926,8.47560860813056,8.73711921046723,8.38539048239689,8.615219481801,8.26997661336984,8.77024431898561,8.75755668893945,8.56654500385654,8.64492663294973
"hsa-miR-578",8.64188231528242,8.62012669809511,6.91051202012508,6.96289600533726,7.86658719251381,6.85033813294089,7.2879515008616,6.90488505841209,6.89867756331849,7.06033602354088,6.95401945305813,7.03865785431456,7.56328323178211,8.19045189599362,6.97988015489092,8.30480259955969,8.74963750516327,6.92928089970742,6.9360041917189,6.85854676886765,6.89867030864278,8.08617657214412,8.36598073600962,8.50615799726326,8.54987782896922,8.54888200344914,8.7508533415946,8.33243270346501,8.69881334223131,8.30901015956078,8.67190510004353,8.67421946189628,8.68254169591267,8.62525916347269
"hsa-miR-579",8.54367644100102,8.809466859317,7.01854849822538,6.9895579912877,11.5828076511167,6.8616688307455,6.94800271521245,7.00176059119276,6.85817002554155,7.04421814354942,6.96824169706413,6.94765914432738,7.61197644071412,8.17265502146552,7.08781074339722,8.28756833368568,8.70061033448468,6.96263346299358,6.92136134718237,6.93582273324253,6.94654138871996,7.85305374679434,8.28626896267978,8.4245862262511,8.49074299641338,8.48307167058409,8.64788505571672,7.40820234485218,8.71351333591903,8.28547573894773,8.69305791844571,8.71827462338673,8.62888657467595,8.52543036866076
"hsa-miR-580",8.68994347634026,8.65815577364988,7.02444712404065,7.05273757788779,7.968055606091,6.87112286004697,7.04657836662033,7.04175332068791,6.89765671374254,6.99348982445321,6.98834044366012,8.13669690554608,7.49735289347705,8.2341439364348,7.03542376589615,8.25075697517058,8.73714186269783,7.00415528368709,6.9747518484671,6.93835872472133,6.95719028419401,7.03583062256391,8.37436050968027,8.47322274131994,8.50542731326476,8.4489116854433,8.72599841690714,8.33077887459739,8.68110309785842,8.33049027912392,8.72706955802371,8.76323793333542,8.65855711679125,8.6744910181182
"hsa-miR-581",8.56400273547015,8.76555563081374,7.05544730551347,7.00691958651096,12.9078911182769,6.97245027006649,7.06177619758669,7.10705383123259,6.93221475196839,7.00947930575021,6.97909588886791,7.03221768262449,11.0611423145996,8.17151809917429,7.11670368034041,8.35144900571977,8.72953713618817,6.94493221809956,6.99508308627789,6.97582504516266,6.93967441141683,8.27796987407835,8.37517326552236,8.45886385561647,8.53559421198896,8.6152003506421,8.75569511850215,8.37041060945467,8.70930614626614,8.3027102000716,8.72248754177928,8.76686014382955,8.62599406672289,8.64826373636414
"hsa-miR-582",8.53981485547301,8.8508972251948,6.98109115679156,6.970671925886,7.80271861904991,6.84795933588239,7.76017502970361,6.96704637914985,6.79935934037347,7.00965397213126,6.94581017002417,7.00856196014932,6.9642946545985,7.98763579571341,7.07253459972295,8.33902778868053,8.68030466313455,6.98005272764039,6.93725257280119,6.92636479175318,6.85699315712852,6.83154667013581,8.2807707701306,8.40815010927508,8.50504336734722,8.48297046500247,8.80036056758966,8.39308622587882,8.63382895746312,8.25591374933779,8.71684552047026,8.76181514836407,8.57061472176119,8.6097025205309
"hsa-miR-583",8.61152799241647,8.5958985782282,6.94214264089126,6.94402678286294,8.01802654412072,6.89904508581401,6.94893251709855,6.90188780226941,6.79644590801084,7.09088094637934,6.89843209319206,8.20953085966638,7.47782382360701,8.23794988429154,6.95294271545327,8.24886069221433,8.76945637966802,6.86925946319475,6.88226643234986,6.91455615239432,6.88845346332411,6.97543186168959,8.37661857857667,8.43967341493563,8.47649672267978,8.50235765517716,8.72331963969089,8.24821507464971,8.79457052536616,8.36034188790606,8.70643143637092,8.73359804600029,8.69068492192386,8.65418847305954
"hsa-miR-584",8.57667329251658,8.80346503306498,6.95560573975335,6.90618350178635,11.0920964149908,6.83569926707157,6.88760203372264,7.0703893278914,6.84920991339103,6.94407716482296,6.91941397933705,6.94623373705576,7.01528792235293,8.06650309842286,7.09435748593796,8.36123628506132,8.6817521376337,6.87875598984254,6.9455386472976,6.86447217857584,6.88340698638837,7.5965908218035,8.29462074889163,8.43597272644082,8.49826363468408,8.52310084722154,8.61733632193607,8.39362341511266,8.6677222069521,8.22328980120987,8.73121141893455,8.70502096978911,8.6131028471058,8.55441157346993
"hsa-miR-585",8.50578099306822,8.91795977965992,6.98477502957845,7.00881627676797,13.1954772526949,6.89201694537175,7.00311758424015,7.05222893686321,6.92490155610671,6.91424040688624,6.95123808164632,6.99006083840543,7.49391627726393,8.14935642136501,7.16791986555194,8.46144793275241,8.6728934347101,6.94452935202026,7.05365441760314,6.98299357469431,6.9957671508778,8.38892008684128,8.31652275282016,8.39988841693321,8.39809593676835,8.41894087498777,8.67139847079894,8.41276713218235,8.68019563952231,8.29072757536883,8.74556945802379,8.73819631911642,8.58125858990661,8.59702419028849
"hsa-miR-586",8.61745277195352,8.66788786864929,6.96753177228793,6.98637566388534,12.863353878262,6.85854676886765,7.02339176304823,6.94159816168313,6.88027533216091,7.21564365470102,7.00145323392518,7.15124491580868,7.64745842645492,8.13947256477362,6.9302157445045,8.38210867087184,8.70534001761742,7.03586800363729,6.8988528735556,6.90495006853611,6.89793739842005,8.28410135740678,8.39517721975909,8.40358685604513,8.53409662944586,8.50597426963092,8.77903740159062,8.28511318850149,8.63530601834449,8.27520730441275,8.78463484555752,8.75445663305996,8.69848763855769,8.67835999269065
